ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Temp_C,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,1,Hsp,Henricia sp.,Unidentified blood star,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,1,Das,Diodora aspera,Rough keyhole limpet,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,1,Cfo,Ceratostoma foliatum,Leafy hornmouth snail,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,1,Sac,Scyra acutifrons,Sharp-nosed crab,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,1,Pti,Polycera tricolor,Tricolour nudibranch,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,1,Dsa,Diaulula sandiegensis,Ringed dorid,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,1,Aha,Artedius harringtoni,Scalyhead sculpin,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,1,Dmo,Doris montereyensis,Monterey Sea lemon,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,1,Pmi,Patiria miniata,Bat star,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,1,Etr,Evasterias troschelii,Mottled sea star,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,1,dez,Debris - Zero,No Debris found,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,1,Pte,Pteraster tesselatus,Slime star,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,0,Phe,Pycnopodia helianthoides,Sunflower star <10cm,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,0,Aoc,Anarrhichthys ocellatus,Wolf eel,4,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,0,Tfe,Tritonia festiva,Diamondback tritonia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,1,2,snd,Survey not done,Survey not done,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Kieran Cox,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,2,2,snd,Survey not done,Survey not done,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Mfr,Mesocentrotus franciscanus,Red sea urchin,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Oko,Orthasterias koehleri,Rainbow sea star,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Etr,Evasterias troschelii,Mottled sea star,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Dir,Dendronotus iris,Giant swimming nudibranch,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Cgi,Crassadoma gigantea,Giant rock scallop,17,,,3,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Pti,Polycera tricolor,Tricolour nudibranch,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Dod,Diaulula odonoghuei,Leopard dorid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Aca,Apostichopus californicus,California sea cucumber,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Hka,Haliotis kamtschatkana,Northern abalone,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Das,Diodora aspera,Rough keyhole limpet,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Hcr,Hermissenda crassicornis,Thick-horned nudibranch,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Sac,Scyra acutifrons,Sharp-nosed crab,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Dim,Dermasterias imbricata,Leather star,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Hsp,Henricia sp.,Blood star,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Cfo,Ceratostoma foliatum,Leafy hornmouth snail,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Mae,Mediaster aequalis,Vermillon sea star,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,2,Hermit,Paguroidea spp.,Unidentified Hermit crab,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,0,Dmo,Doris montereyensis,Monterey Sea lemon,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,0,Sfo,Stylasterias forreri,Velcro star,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Cox,Jasmin Schuster,BMSC11,Wizard Island South,48.857467,-125.158233,03/05/2022,2.5,SW,9:50,KDC,,8.5,0,0,Tfe,Tritonia festiva,Diamondback tritonia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,1,1,Hde,Hexagrammos decagrammus,Kelp greenling,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Mfr,Mesocentrotus franciscanus,Red sea urchin,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Dal,Dirona albolineata,White-lined dirona,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Hka,Haliotis kamtschatkana,Northern abalone,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Cfo,Ceratostoma foliatum,Leafy hornmouth snail,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Aca,Apostichopus californicus,California sea cucumber,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Oko,Orthasterias koehleri,Rainbow sea star,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Dim,Dermasterias imbricata,Leather star,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Rni,Rhinogobiops nicholsii,Blackeye goby,9,,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Dir,Dendronotus iris,Giant swimming nudibranch,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Hcr,Hermissenda crassicornis,Thick-horned nudibranch,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Cgi,Crassadoma gigantea,Giant rock scallop,10,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Etr,Evasterias troschelii,Mottled sea star,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Hsp,Henricia sp.,Unidentified blood star,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Dod,Diaulula odonoghuei,Leopard dorid,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Sac,Scyra acutifrons,Sharp-nosed crab,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Pno,Peltodoris nobilis,Sea lemon,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Ami,Acmaea mitra,Whitecap limpet,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Pmi,Patiria miniata,Bat star,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Dsa,Diaulula sandiegensis,Ringed dorid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Nle,Neverita lewisii,Lewis' moon snail,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Sdr,Strongylocentrotus droebachiensis,Green sea urchin,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Hpu,Henricia pumila,Dwarf mottled henricia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Aha,Artedius harringtoni,Scalyhead sculpin,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Das,Diodora aspera,Rough keyhole limpet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Pgi,Pomaulax gibberosus,Red turban snail,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Mae,Mediaster aequalis,Vermillon sea star,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Tmo,Triopha modesta,Clown nudibranch,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,1,Lma,Lopholithodes mandtii,Puget sound king crab,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,0,0,Nle,Neverita lewisii,Lewis' moon snail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,0,0,Lma,Lopholithodes mandtii,Puget sound king crab,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,0,0,Opi,Oxylebius pictus,Painted greenling,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Claire Attridge,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,0,0,Aha,Artedius harringtoni,Scalyhead sculpin,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Claire Attridge,Jasmin Schuster,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,1,2,snd,Survey not done,Survey not done,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training dive Claire Attridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Claire Attridge,Jasmin Schuster,BMSC12,Wizard Island North,48.858283,-125.160917,03/05/2022,3,NE,12:50,JMS,,9,2,2,snd,Survey not done,Survey not done,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training dive Claire Attridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Isabelle Cote,BMSC1,Dodger Channel,48.831849,-125.198538,04/05/2022,2.5,NE,10:15,IMC,,4.7,1,1,Rni,Rhinogobiops nicholsii,Blackeye goby,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Isabelle Cote,BMSC1,Dodger Channel,48.831849,-125.198538,04/05/2022,2.5,NE,10:15,IMC,,4.7,1,1,Hde,Hexagrammos decagrammus,Kelp greenling,6,,,,,,3,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Isabelle Cote,BMSC1,Dodger Channel,48.831849,-125.198538,04/05/2022,2.5,NE,10:15,IMC,,4.7,2,1,Mfr,Mesocentrotus franciscanus,Red sea urchin,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Isabelle Cote,BMSC1,Dodger Channel,48.831849,-125.198538,04/05/2022,2.5,NE,10:15,IMC,,4.7,2,1,Pgi,Pomaulax gibberosus,Red turban snail,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Isabelle Cote,BMSC1,Dodger Channel,48.831849,-125.198538,04/05/2022,2.5,NE,10:15,IMC,,4.7,2,1,Cpr,Cancer productus,Red rock crab,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Isabelle Cote,BMSC1,Dodger Channel,48.831849,-125.198538,04/05/2022,2.5,NE,10:15,IMC,,4.7,2,1,Cfo,Ceratostoma foliatum,Leafy hornmouth snail,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Isabelle Cote,BMSC1,Dodger Channel,48.831849,-125.198538,04/05/2022,2.5,NE,10:15,IMC,,4.7,2,1,Ami,Acmaea mitra,Whitecap limpet,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Isabelle Cote,BMSC1,Dodger Channel,48.831849,-125.198538,04/05/2022,2.5,NE,10:15,IMC,,4.7,2,1,Hka,Haliotis kamtschatkana,Northern abalone,4,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Isabelle Cote,BMSC1,Dodger Channel,48.831849,-125.198538,04/05/2022,2.5,NE,10:15,IMC,,4.7,2,1,Hermit,Paguroidea spp.,Unidentified Hermit crab,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
